"module name","license","repository"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru"
"@ampproject/remapping@2.2.1","Apache-2.0","https://github.com/ampproject/remapping"
"@auth0/auth0-react@2.1.0","MIT","https://github.com/auth0/auth0-react"
"@auth0/auth0-spa-js@2.0.7","MIT","https://github.com/auth0/auth0-spa-js"
"@aw-web-design/x-default-browser@1.4.88","MIT","https://github.com/The-Code-Monkey/TechStack"
"@babel/code-frame@7.21.4","MIT","https://github.com/babel/babel"
"@babel/code-frame@7.22.5","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.22.3","MIT","https://github.com/babel/babel"
"@babel/core@7.21.8","MIT","https://github.com/babel/babel"
"@babel/core@7.22.1","MIT","https://github.com/babel/babel"
"@babel/generator@7.21.9","MIT","https://github.com/babel/babel"
"@babel/generator@7.22.3","MIT","https://github.com/babel/babel"
"@babel/generator@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-builder-binary-assignment-operator-visitor@7.22.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.22.1","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.22.1","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.22.1","MIT","https://github.com/babel/babel"
"@babel/helper-define-polyfill-provider@0.3.3","MIT","https://github.com/babel/babel-polyfills"
"@babel/helper-define-polyfill-provider@0.4.0","MIT","https://github.com/babel/babel-polyfills"
"@babel/helper-environment-visitor@7.22.1","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.21.0","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.22.3","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.21.4","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.22.1","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.21.5","MIT","https://github.com/babel/babel"
"@babel/helper-remap-async-to-generator@7.18.9","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.22.1","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.21.5","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.20.0","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.21.5","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.19.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.21.0","MIT","https://github.com/babel/babel"
"@babel/helper-wrap-function@7.20.5","MIT","https://github.com/babel/babel"
"@babel/helpers@7.22.3","MIT","https://github.com/babel/babel"
"@babel/highlight@7.18.6","MIT","https://github.com/babel/babel"
"@babel/highlight@7.22.5","MIT","https://github.com/babel/babel"
"@babel/parser@7.21.9","MIT","https://github.com/babel/babel"
"@babel/parser@7.22.4","MIT","https://github.com/babel/babel"
"@babel/parser@7.22.5","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.22.3","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-async-generator-functions@7.20.7","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-properties@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-static-block@7.21.0","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-dynamic-import@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-export-namespace-from@7.18.9","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-json-strings@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-logical-assignment-operators@7.20.7","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-nullish-coalescing-operator@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-numeric-separator@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-object-rest-spread@7.20.7","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-catch-binding@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-chaining@7.21.0","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-methods@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-property-in-object@7.21.0","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-unicode-property-regex@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-class-static-block@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"@babel/plugin-syntax-export-namespace-from@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from"
"@babel/plugin-syntax-flow@7.21.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-assertions@7.20.0","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.22.3","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-jsx@7.21.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
